,category,sub_category,href,items,price,category_mean_price,sub_cat_mean_price
0,Groceries,Fruits & Vegetables,https://www.jiomart.com/c/groceries/fruits-vegetables/fresh-fruits/220,Fresh Dates (Pack) (Approx 450 g - 500 g),109.0,174.0,84.0
1,Groceries,Fruits & Vegetables,https://www.jiomart.com/c/groceries/fruits-vegetables/fresh-fruits/220,Fresh Dates (Pack) (Approx 450 g - 500 g),109.0,174.0,84.0
2,Groceries,Fruits & Vegetables,https://www.jiomart.com/c/groceries/fruits-vegetables/fresh-fruits/220,Tender Coconut Cling Wrapped (1 pc) (Approx 900 g - 1300 g),49.0,174.0,84.0
3,Groceries,Fruits & Vegetables,https://www.jiomart.com/c/groceries/fruits-vegetables/fresh-fruits/220,Mosambi 1 kg,69.0,174.0,84.0
4,Groceries,Premium Fruits,https://www.jiomart.com/c/groceries/premium-fruits/avocado-peach-plum/3108,Peach Sun Gold Premium Indian Pack 500 g,149.0,174.0,156.0
5,Groceries,Premium Fruits,https://www.jiomart.com/c/groceries/premium-fruits/avocado-peach-plum/3108,Plum Premium Indian Pack 500 g,149.0,174.0,156.0
6,Groceries,Premium Fruits,https://www.jiomart.com/c/groceries/premium-fruits/avocado-peach-plum/3108,Apricot Premium Indian Pack 500 g,169.0,174.0,156.0
7,Groceries,Dairy & Bakery,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,Parle Agro Smoodh Toffee Caramel Milkshake 85 ml (Tetra Pak),9.0,174.0,88.0
8,Groceries,Dairy & Bakery,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,Parle Agro Smoodh Chocolate Milkshake 85 ml (Tetra Pak),9.0,174.0,88.0
9,Groceries,Dairy & Bakery,https://www.jiomart.com/c/groceries/dairy-bakery/dairy/62,Amul Butter 500 g (Carton),245.0,174.0,88.0
10,Groceries,Staples,https://www.jiomart.com/c/groceries/staples/atta-flours-sooji/26,Chakki Atta 10 kg,309.0,174.0,122.0
11,Groceries,Staples,https://www.jiomart.com/c/groceries/staples/atta-flours-sooji/26,Suji / Rawa 1 kg,38.0,174.0,122.0
