,category,sub_category,href,items,price,category_mean_price,sub_cat_mean_price
37,Home & Kitchen,Kitchenware,https://www.jiomart.com/c/groceries/home-kitchen/kitchenware/cookware-non-stick/1711,Home One Premium Stainless Steel Bowl (No. 55),35.0,1119.0,378.0
38,Home & Kitchen,Kitchenware,https://www.jiomart.com/c/groceries/home-kitchen/kitchenware/cookware-non-stick/1711,Home One Stainless Steel Induction Bottom Kadai (Size 12),299.0,1119.0,378.0
39,Home & Kitchen,Kitchenware,https://www.jiomart.com/c/groceries/home-kitchen/kitchenware/cookware-non-stick/1711,Srushti Gold Round Aluminium Pressure Cooker 2+3 L (Set of 2) Single Lid,799.0,1119.0,378.0
40,Home & Kitchen,Dining,https://www.jiomart.com/c/groceries/home-kitchen/dining/cups-mugs-more/1713,Lexus Comfort Assorted Ceramic Mug 140 ml (Set of 6),109.0,1119.0,338.0
41,Home & Kitchen,Dining,https://www.jiomart.com/c/groceries/home-kitchen/dining/cups-mugs-more/1713,Lexus Assorted Ceramic Mug 140 ml (Set of 6),109.0,1119.0,338.0
42,Home & Kitchen,Dining,https://www.jiomart.com/c/groceries/home-kitchen/dining/cups-mugs-more/1713,Ebun Stainless Steel Double Wall Insulated Tea and Coffee Cups with Tray 60 ml (7 pcs),795.0,1119.0,338.0
43,Home & Kitchen,Furnishing,https://www.jiomart.com/c/groceries/home-kitchen/furnishing/towels/1697,SKAP Micro Fiber Wash Basin Towel 30x40 cm (Assorted Colours),49.0,1119.0,69.0
44,Home & Kitchen,Furnishing,https://www.jiomart.com/c/groceries/home-kitchen/furnishing/towels/1697,Home One White Cotton Hankerchief for Men 42x42 cm (Pack of 5),99.0,1119.0,69.0
45,Home & Kitchen,Furnishing,https://www.jiomart.com/c/groceries/home-kitchen/furnishing/towels/1697,Home One Multicolour Cotton Face Towel Set 28x28 cm (3 pcs),59.0,1119.0,69.0
46,Home & Kitchen,Home Decor,https://www.jiomart.com/c/groceries/home-kitchen/home-decor/artwork/2336,Ecraftindia Laughing Buddha Design UV Art Painting 35 X 50 cm,100.0,1119.0,133.0
47,Home & Kitchen,Home Decor,https://www.jiomart.com/c/groceries/home-kitchen/home-decor/artwork/2336,Ecraftindia Radha Krishna Matt Texture UV Art Painting 35 X 27 cm,149.0,1119.0,133.0
48,Home & Kitchen,Home Decor,https://www.jiomart.com/c/groceries/home-kitchen/home-decor/artwork/2336,Ecraftindia Matt Texture Art Painting (Set Of 3) 17 X 40 cm,150.0,1119.0,133.0
49,Home & Kitchen,Furniture,https://www.jiomart.com/c/groceries/home-kitchen/furniture/chairs-stools/1707,Home One Blue Plastic Foldable Table 63x36.5x24 cm,499.0,1119.0,399.0
50,Home & Kitchen,Furniture,https://www.jiomart.com/c/groceries/home-kitchen/furniture/chairs-stools/1707,Home One Pink Plastic Foldable Table 63x36.5x24 cm,499.0,1119.0,399.0
51,Home & Kitchen,Furniture,https://www.jiomart.com/c/groceries/home-kitchen/furniture/chairs-stools/1707,Home One Robo Brown and Beige Plastic Stool (Small),199.0,1119.0,399.0
52,Home & Kitchen,Home Appliances,https://www.jiomart.com/c/groceries/home-kitchen/home-appliances/personal-electronics/1703,B09SNNVMB4,6199.0,1119.0,2816.0
53,Home & Kitchen,Home Appliances,https://www.jiomart.com/c/groceries/home-kitchen/home-appliances/kitchen-appliances/1738,Everest Green Steel Coconut Opener,49.0,1119.0,2816.0
54,Home & Kitchen,Home Appliances,https://www.jiomart.com/c/groceries/home-kitchen/home-appliances/kitchen-appliances/1738,Black Product,2200.0,1119.0,2816.0
55,Home & Kitchen,"Toys, Games & Fitness",https://www.jiomart.com/c/groceries/home-kitchen/toys-games-fitness/sporting-equipment-accessories/1705,Elan Superlara Assorted Football (Size 5),249.0,1119.0,142.0
56,Home & Kitchen,"Toys, Games & Fitness",https://www.jiomart.com/c/groceries/home-kitchen/toys-games-fitness/sporting-equipment-accessories/1705,MS Plastic Skipping Rope,49.0,1119.0,142.0
57,Home & Kitchen,"Toys, Games & Fitness",https://www.jiomart.com/c/groceries/home-kitchen/toys-games-fitness/sporting-equipment-accessories/1705,Elan Cricket Tennis Ball (Pack of 3),129.0,1119.0,142.0
58,Home & Kitchen,Electrical,https://www.jiomart.com/c/groceries/home-kitchen/electrical/batteries/1693,Eveready Red 1015 AA Carbon Zinc Batteries (Pack of 10),125.0,1119.0,120.0
59,Home & Kitchen,Electrical,https://www.jiomart.com/c/groceries/home-kitchen/electrical/batteries/1693,Eveready Red 1012 AAA Carbon Zinc Batteries (Pack of 10),125.0,1119.0,120.0
60,Home & Kitchen,Electrical,https://www.jiomart.com/c/groceries/home-kitchen/electrical/batteries/1693,Nippo Gold AA UM 3DG Extra Heavy Duty Batteries (Pack of 10),109.0,1119.0,120.0
61,Home & Kitchen,Bathroom & Laundry Accessories,https://www.jiomart.com/c/groceries/home-kitchen/bathroom-laundry-accessories/buckets-mugs-tubs/1715,Princeware Super Deluxe Printed Assorted Plastic Bucket 16 L,149.0,1119.0,122.0
62,Home & Kitchen,Bathroom & Laundry Accessories,https://www.jiomart.com/c/groceries/home-kitchen/bathroom-laundry-accessories/buckets-mugs-tubs/1715,Princeware Super Deluxe Blue Plastic Bucket 16 L,149.0,1119.0,122.0
63,Home & Kitchen,Bathroom & Laundry Accessories,https://www.jiomart.com/c/groceries/home-kitchen/bathroom-laundry-accessories/buckets-mugs-tubs/1715,Joyo Better Home Blue Square Plastic Mug 1.5 L,69.0,1119.0,122.0
64,Home & Kitchen,Disposables,https://www.jiomart.com/c/groceries/home-kitchen/disposables/garbage-bags/1691,Earth Mate Compostable Garbage Bag 19x21 in (15 pcs),75.0,1119.0,80.0
65,Home & Kitchen,Disposables,https://www.jiomart.com/c/groceries/home-kitchen/disposables/garbage-bags/1691,Earth Mate Compostable Medium Size Garbage Bags 25x30 inch (10 N),99.0,1119.0,80.0
66,Home & Kitchen,Disposables,https://www.jiomart.com/c/groceries/home-kitchen/disposables/garbage-bags/1691,Crystal Compostable Garbage Bag 43x48 cm (15 pcs),65.0,1119.0,80.0
67,Home & Kitchen,Stationery,https://www.jiomart.com/c/groceries/home-kitchen/stationery/office-supplies/1699,JK Copier 75 GSM A4 Paper Rim (500 pgs),245.0,1119.0,220.0
68,Home & Kitchen,Stationery,https://www.jiomart.com/c/groceries/home-kitchen/stationery/office-supplies/1699,JK Easy Copier 70 GSM A4 Paper Rim (500 pgs),225.0,1119.0,220.0
69,Home & Kitchen,Stationery,https://www.jiomart.com/c/groceries/home-kitchen/stationery/office-supplies/1699,QwikWork Copier Paper 75 GSM A4 500 Sheets,189.0,1119.0,220.0
70,Home & Kitchen,Bags & Travel Luggage,https://www.jiomart.com/c/groceries/home-kitchen/bags-travel-luggage/trolley-suitcases/1719,TIMUS MOROCCO UPRIGHT BLACK POLYSTER TROLLEY BAG 55 CM,2199.0,1119.0,2749.0
71,Home & Kitchen,Bags & Travel Luggage,https://www.jiomart.com/c/groceries/home-kitchen/bags-travel-luggage/trolley-suitcases/1719,Safari Regloss Antiscratch Black Luggage Trolley Bag,3449.0,1119.0,2749.0
72,Home & Kitchen,Bags & Travel Luggage,https://www.jiomart.com/c/groceries/home-kitchen/bags-travel-luggage/trolley-suitcases/1719,Safari GLIMPSE Grey Polycarbonate Trolley 38 L (GLIMPSE564WGNM),2599.0,1119.0,2749.0
73,Home & Kitchen,"Mops, Brushes & Scrubs",https://www.jiomart.com/c/groceries/home-kitchen/mops-brushes-scrubs/toilet-other-brushes/1695,Gala Double Hockey Toilet Brush,135.0,1119.0,91.0
74,Home & Kitchen,"Mops, Brushes & Scrubs",https://www.jiomart.com/c/groceries/home-kitchen/mops-brushes-scrubs/toilet-other-brushes/1695,Scotch-Brite Kitchen Sink Brush + Refill,99.0,1119.0,91.0
75,Home & Kitchen,"Mops, Brushes & Scrubs",https://www.jiomart.com/c/groceries/home-kitchen/mops-brushes-scrubs/toilet-other-brushes/1695,Gala Chandra Gold Cloth Brush,40.0,1119.0,91.0
76,Home & Kitchen,Auto Care,https://www.jiomart.com/c/groceries/home-kitchen/auto-care/paint-exterior-care/1701,Motomax Cream Polish 60 g,99.0,1119.0,43.0
77,Home & Kitchen,Auto Care,https://www.jiomart.com/c/groceries/home-kitchen/auto-care/paint-exterior-care/1701,Vista Sponge Shine,13.0,1119.0,43.0
78,Home & Kitchen,Auto Care,https://www.jiomart.com/c/groceries/home-kitchen/auto-care/paint-exterior-care/1701,Motomax Insta Shine Polish in Sponge,18.0,1119.0,43.0
79,Home & Kitchen,Garden & Outdoor,https://www.jiomart.com/c/groceries/home-kitchen/garden-outdoor/gardening/2338,Crodor Vino Neem Oil 100 ml With Poly Grow Bags (5Inch x 6Inch - 25 Piece),309.0,1119.0,269.0
80,Home & Kitchen,Garden & Outdoor,https://www.jiomart.com/c/groceries/home-kitchen/garden-outdoor/gardening/2338,"Crodor IFFCO Sea Secret 200 ml, Liquid Seaweed Extract,Organic Bio-Stimulant",399.0,1119.0,269.0
81,Home & Kitchen,Garden & Outdoor,https://www.jiomart.com/c/groceries/home-kitchen/garden-outdoor/gardening/2338,National Gardens Vermicompost Organic Fertilizer for Better Plant Growth (240 g),99.0,1119.0,269.0
82,Home & Kitchen,Carpentry & work accessories,https://www.jiomart.com/c/groceries/home-kitchen/carpentry-work-accessories/adhesives-sealants/1709,Pidilite M-Seal Phata Phat 100 g,27.0,1119.0,1331.0
83,Home & Kitchen,Carpentry & work accessories,https://www.jiomart.com/c/groceries/home-kitchen/carpentry-work-accessories/locks-hardware/2676,Plantex Grey & White High Grade Heavy Steel Folding Ladder with 4 Anti Skid Steps for Home,3499.0,1119.0,1331.0
84,Home & Kitchen,Carpentry & work accessories,https://www.jiomart.com/c/groceries/home-kitchen/carpentry-work-accessories/locks-hardware/2676,Godrej Locks Brass Brass Navtal 3279 Padlock Set,468.0,1119.0,1331.0
85,Home & Kitchen,Pooja Needs,https://www.jiomart.com/c/groceries/home-kitchen/pooja-needs/lamp-lamp-oil/1722,Cycle Om Shanti Chandanam Pooja Oil 1 L,179.0,1119.0,172.0
86,Home & Kitchen,Pooja Needs,https://www.jiomart.com/c/groceries/home-kitchen/pooja-needs/lamp-lamp-oil/1722,Mangalmai Til Diya and Lamp Oil 900 ml,169.0,1119.0,172.0
87,Home & Kitchen,Pooja Needs,https://www.jiomart.com/c/groceries/home-kitchen/pooja-needs/lamp-lamp-oil/1722,Pitambari Deepshakti Diya and Lamps Pooja Oil 900 ml,169.0,1119.0,172.0
88,Home & Kitchen,Bathroom & Laundry,https://www.jiomart.com/c/groceries/home-kitchen/bathroom-laundry/laundry-accessories/2361,Kuber Industries Maroon Disney Mickey Mouse Print Foldable Storage Cube With Handle 33 cm x 33 cm,299.0,1119.0,582.0
89,Home & Kitchen,Bathroom & Laundry,https://www.jiomart.com/c/groceries/home-kitchen/bathroom-laundry/laundry-accessories/2361,Kuber Industries Red Disney Cars Print Fabric Foldable Storage Cube with Handle (Pack of 4),1149.0,1119.0,582.0
90,Home & Kitchen,Bathroom & Laundry,https://www.jiomart.com/c/groceries/home-kitchen/bathroom-laundry/laundry-accessories/2361,Kuber Industries Pink Disney Minnie Print Foldable Cloth Storage Cube With Handle 33 cm x 33 cm,299.0,1119.0,582.0
91,Home & Kitchen,Industrial & Scientific Supplies,https://www.jiomart.com/c/groceries/home-kitchen/industrial-scientific-supplies/personal-protective-equipment/3380,"CENWELL 50 Pcs Blue 3 Ply Surgical Mask with Nose Pin, Ultrasonic Ear loops and Saver Strap, Melt Blown Layer (Box Sealed Packing)",249.0,1119.0,284.0
92,Home & Kitchen,Industrial & Scientific Supplies,https://www.jiomart.com/c/groceries/home-kitchen/industrial-scientific-supplies/personal-protective-equipment/3380,"CENWELL 100 Pcs Blue 3 Ply Surgical Mask with Nose Pin, Ultrasonic Ear loops and Saver Strap, Melt Blown Layer (Box Sealed Packing)",299.0,1119.0,284.0
93,Home & Kitchen,Industrial & Scientific Supplies,https://www.jiomart.com/c/groceries/home-kitchen/industrial-scientific-supplies/personal-protective-equipment/3380,"Medinain Disposable With Built-In Adjustable Nose Pin, 95 Percentage, Filtration CE, and ISO and WHO-GMP Certified Surgical Face Mask (Pack-100)",303.0,1119.0,284.0
